  Denonimation,  Date creation,  Siege social,  Forme juridique,  Secteur d activite,  url,  Registre de commerce,  Capital
SENEGALAISE D&#039;ETUDES DE REALISATIONS D&#039;INFRASTRUCTURES ET DE COMMERCE SUARL - SERICOM SUARL,03/01/2014,CITE URBANISME GOLF NORD N°73,S.U.A.R.L,BTP,http://www.creationdentreprise.sn/senegalaise-detudes-de-realisations-dinfrastructures-et-de-commerce-suarl-sericom-suarl, SNDKR2014B037,1000000
GEO-FORAGE SENEGAL SARL,03/01/2014,HLM FASS PAILLOTTE N°173/B,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/geo-forage-senegal-sarl, SNDKR2014B039,1000000
C.D.B. SUARL,03/01/2014,HANN MARISTE N°114/B,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/cdb-suarl, SNDKR2014B038,1000000
GLOBAL LOGISTIQUE SUARL,02/01/2014,KM 7 5 BLD DU CENTENAIRE...,S.U.A.R.L,TRANSPORT,http://www.creationdentreprise.sn/global-logistique-suarl, SNDKR2014B015,1000000
EXPRESS-OPERATIONS-TRANSIT SARL - EXOTRANS SENEGAL SARL,02/01/2014,SICAP LIBERTE 6 N°10488,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),TRANSPORT,http://www.creationdentreprise.sn/express-operations-transit-sarl-exotrans-senegal-sarl, SNDKR2013B016,1000000
INGENIEUR-CONSEIL POUR LE DEVELOPPEMENT DURABLE SARL - I2D SARL,03/01/2014,SACRE COEUR 3 N°9912,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/ingenieur-conseil-pour-le-developpement-durable-sarl-i2d-sarl, SNDKR2014B042,1000000
DISPOPHARM DISTRIBUTION & PROMOTION SENEGAL SUARL,07/01/2014,CITE BAT. TRAIN OUAKAM N°160,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/dispopharm-distribution-promotion-senegal-suarl, SNDKR2014B219,1000000
SEN TRAVEL TOURS SARL - S.T.T. SARL,07/01/2014,CITE COMICO 3 IMMEUBLE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),TOURISME,http://www.creationdentreprise.sn/sen-travel-tours-sarl-stt-sarl, SNDKR2014B218,1000000
SIGMA SARL,09/01/2014,SICAP LIBERTE 5 N°5347/D,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),NTIC / NOUVELLES TECHNOLOGIES / INFORMATIQUE,http://www.creationdentreprise.sn/sigma-sarl, SNDKR2014B406,1000000
UNITECH DRILLING COMPANY SENEGAL SA,09/01/2014,27 AVENUE GEORGES POMPIDOU,SOCIETE ANONYME (S.A),ENERGIE / PRODUITS PETROLIERS,http://www.creationdentreprise.sn/unitech-drilling-company-senegal-sa, SNDKR2014B408 ,10000000
GLOBAL EDUCATION NETWORK SENEGAL SARL - GEN SENEGAL SARL,09/01/2014,SCAT URBAM MARISTES N°J47,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/global-education-network-senegal-sarl-gen-senegal-sarl, SNDKR2014B409,1000000
INTOUCH SA,09/01/2014,DIEUPPEUL 2 APPT 3/A N°2566,SOCIETE ANONYME (S.A),NTIC / NOUVELLES TECHNOLOGIES / INFORMATIQUE,http://www.creationdentreprise.sn/intouch-sa, SNDKR2014B407 ,10000000
COMPLEXE DE FABRIQUE D&#039;ALIMENTS POUR BETAIL SARL - COFAB SARL,08/01/2014,SICAP LIBERTE 5 N°5376/I,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),ALIMENTAIRE,http://www.creationdentreprise.sn/complexe-de-fabrique-daliments-pour-betail-sarl-cofab-sarl, SNDKR2014B332,1000000
PROCLEAN SARL,03/01/2014,SICAP MERMOZ N°7684,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),ENTRETIEN ET NETTOYAGE,http://www.creationdentreprise.sn/proclean-sarl, SNDKR2014B40,1000000
SOCIETE CIVILE IMMOBILIERE SOKHNA MABIYE - SCI SOKHNA MABIYE,07/01/2014,HANN MARISTES 2 N°1411,SOCIETE CIVILE,IMMOBILIER,http://www.creationdentreprise.sn/societe-civile-immobiliere-sokhna-mabiye-sci-sokhna-mabiye, BORD.N°067 CASE 093 ,1000000
C.M.B. PREFABRIQUE SARL,13/01/2014,DAROU SALAM 2 N°324,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),INDUSTRIE METALLURGIQUE / SIDERURGIQUE,http://www.creationdentreprise.sn/cmb-prefabrique-sarl-1, SNDKR2014B542,1000000
DRAPOR INTERNATIONAL SENEGAL SA - DRAPSEN SA,13/01/2014,16 AVENUE JAMBAARS,SOCIETE ANONYME (S.A),BTP,http://www.creationdentreprise.sn/drapor-international-senegal-sa-drapsen-sa, SNDKR2014B541,10000000
BUREAU D&#039;INGENIERIE & DE PRESTATIONS DE SERVICES SARL - B.I.P.S. SARL,02/01/2014,CITE KEUR DAMEL N°171,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/bureau-dingenierie-de-prestations-de-services-sarl-bips-sarl, SNDKR2014B013,1000000
SAHEL EVASIONS SARL,24/01/2014,SICAP LIBERTE 3 N°2138,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),TRANSPORT,http://www.creationdentreprise.sn/sahel-evasions-sarl, SNDKR2014B1238,1000000
