  Denonimation,  Date creation,  Siege social,  Forme juridique,  Secteur d activite,  url,  Registre de commerce,  Capital
 SNDKR2011B8540, 1 000 000COMPAGNIE SAHELIENNE DE BATIMENT ET DE TRAVAUX PUBLICS SARL,11/07/2011,HANN MARISTES N°2814,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/compagnie-sahelienne-de-batiment-et-de-travaux-publics-sarl, SNDKR2011B8540, 1 000 000
 SNDKR2011B8548, 1 000 000AFRICAN STAR RESSOURCES SARL,11/07/2011,71 CITE BIAGUI YOFF TOUNDOUP...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),INDUSTRIE EXTRACTIVE - MINES ET CARRIERES,http://www.creationdentreprise.sn/african-star-ressources-sarl, SNDKR2011B8548, 1 000 000
 SNDKR2011B8549, 10 000 000HP SENEGAL SAU,11/07/2011,REGUS DAKAR 12 BOULEVARD...,SOCIETE ANONYME UNIPERSONELLE(S.A.U),COMMERCE,http://www.creationdentreprise.sn/hp-senegal-sau, SNDKR2011B8549, 10 000 000
 SNDKR2011B8509, 360 000 000ATTIJARI ASSET MANAGEMENT SA,11/07/2011,1 PLACE DE L&#039;INDEPENDANCE,SOCIETE ANONYME (S.A),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/attijari-asset-management-sa, SNDKR2011B8509, 360 000 000
 SNDKR2011B8883, 1 000 000MADJIGUENE DRAME SUARL,13/07/2011,HLM GRAND MEDINE VILLA N°159,S.U.A.R.L,IMMOBILIER,http://www.creationdentreprise.sn/madjiguene-drame-suarl, SNDKR2011B8883, 1 000 000
 SNDKR2011B8719, 1 000 000TRANSPORT MAMADOU BA SUARL,12/07/2011,KM 8.5 ROUTE DE RUFISQUE,S.U.A.R.L,TRANSPORT,http://www.creationdentreprise.sn/transport-mamadou-ba-suarl, SNDKR2011B8719, 1 000 000
 SNDKR2011B8717, 1 000 000SANTATI IMPORT EXPORT SARL - S.E.I SARL,12/07/2011,HLM 1 VILLA N°120,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/santati-import-export-sarl-sei-sarl, SNDKR2011B8717, 1 000 000
 SNDKR2011B11527, 1 000 000SENEGALAISE DU BATIMENT DE L&#039;EQUIPEMENT SARL - S.B.E. SARL,02/09/2011,LIBERTE 5 N°5322,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BOIS,http://www.creationdentreprise.sn/senegalaise-du-batiment-de-lequipement-sarl-sbe-sarl, SNDKR2011B11527, 1 000 000
 SNDKR2011B11525, 10 000 000SENEGALAISE REMANIFACTURING SUSTAINABILITY SAU - S.R.S. SAU,02/09/2011,LIBERTE 6 EXTENSION CITE DES...,SOCIETE ANONYME UNIPERSONELLE(S.A.U),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/senegalaise-remanifacturing-sustainability-sau-srs-sau, SNDKR2011B11525, 10 000 000
 SNDKR2011B11320, 1 000 000SOCIETE D&#039;APPROVISIONNEMENT ET DE PRESTATIONS DE SERVICES SARL - SAP.PS SARL,26/08/2011,DAKAR CITE BIAGUI N°41,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMUNICATION,http://www.creationdentreprise.sn/societe-dapprovisionnement-et-de-prestations-de-services-sarl-sapps-sarl, SNDKR2011B11320, 1 000 000
 SNDKR2011B9065, 1 000 000ETC PREMIERE SARL,15/07/2011,POINT E RUE DE SAINT LOUIS...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),MATERIELS ELECTRIQUES,http://www.creationdentreprise.sn/etc-premiere-sarl, SNDKR2011B9065, 1 000 000
 SNDKR2011B8889, 1 000 000GROUPE SOSECAD SARL,13/07/2011,CAMBERENE 1 DAKAR /1093,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/groupe-sosecad-sarl, SNDKR2011B8889, 1 000 000
 SNDKR2011B8715, 1 000 000PHENIX SARL,12/07/2011,HLM HANN MARISTE 2EME ETAGE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/phenix-sarl, SNDKR2011B8715, 1 000 000
 SNDKR2011B8716, 1 000 000SCRAP SERVICES INTERNATIONAL SARL,12/07/2011,CONCESSION FOYER SHAMA HOTEL...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/scrap-services-international-sarl, SNDKR2011B8716, 1 000 000
 SNDKR2011B9605, 10 000 000COMPAGNIE SENEGALAISE DE TRANSPORT ET DE LOGISTIQUE SA - COSETRAL SA,25/07/2011,AVENUE BLAISE DIAGNE N°92,SOCIETE ANONYME (S.A),TRANSPORT,http://www.creationdentreprise.sn/compagnie-senegalaise-de-transport-et-de-logistique-sa-cosetral-sa, SNDKR2011B9605, 10 000 000
 SNDKR2011B8897, 1 000 000MAXI TECHNOLOGIES SERVICES SARL - M.T.S SARL,13/07/2011,1271 LIBERTE 1 DAKAR,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/maxi-technologies-services-sarl-mts-sarl, SNDKR2011B8897, 1 000 000
 SNDKR2011B8891, 1 000 000CHALLENGE SARL,13/07/2011,OUEST FOIRE LOT N°100 DAKAR,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),TRANSPORT,http://www.creationdentreprise.sn/challenge-sarl, SNDKR2011B8891, 1 000 000
 SNDKR2011B11707, 1 000 000SENEGALAISE D&#039;INTERMEDIATION SURL,08/09/2011,SICAP FOIRE VILLA N°10659,S.U.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/senegalaise-dintermediation-surl, SNDKR2011B11707, 1 000 000
 SNDKR2011B11462, 10 000 000DERCA SA,30/08/2011,47 BOULEVARD DE LA REPUBLIQUE,SOCIETE ANONYME (S.A),IMMOBILIER,http://www.creationdentreprise.sn/derca-sa, SNDKR2011B11462, 10 000 000
 SNDKR2011B11464, 1 000 000BACSO SARL,30/08/2011,KEUR MBAYE FALL IMMEUBLE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/bacso-sarl, SNDKR2011B11464, 1 000 000
 SNDKR2011B11522, 1 000 000SENEGALAISE D&#039;ETANCHEITE ET DE CONSTRUCTION SARL - SEC SARL,02/09/2011,ZONE DE CAPTAGE N°362,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/senegalaise-detancheite-et-de-construction-sarl-sec-sarl, SNDKR2011B11522, 1 000 000
 SNDKR2011B11571, 1 000 000DESK BUSINESS SERVICES SUARL,05/09/2011,SICAP AMITIE 3 VILLA N°4407,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/desk-business-services-suarl, SNDKR2011B11571, 1 000 000
 SNDKR2011B11573, 1 000 000NADO MULTISERVICES SARL,05/09/2011,DAKAR RUE MEDINA 29 X 18,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/nado-multiservices-sarl, SNDKR2011B11573, 1 000 000
 SNDKR2011B10406, 1 000 000GLOBAL SYNERGIE NETWORK SARL,25/08/2011,NORD FOIRE AZUR N°23,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/global-synergie-network-sarl, SNDKR2011B10406, 1 000 000
 SNDKR2011B11709, 1 000 000GAMAFRICA SARL,08/09/2011,94 RUE FELIX FAURE,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/gamafrica-sarl, SNDKR2011B11709, 1 000 000
 SNDKR2011B11936, 10 000 000ZENITH ENERGIE SA,12/09/2011,KM 15 ROUTE DE RUFISQUE PRES...,SOCIETE ANONYME (S.A),ENERGIE / PRODUITS PETROLIERS,http://www.creationdentreprise.sn/zenith-energie-sa, SNDKR2011B11936, 10 000 000
 SNDKR2011B11526, 1 000 000GROUPE SENEGAL CUBA AFRIQUE SARL- G.S.C.A SARL,02/09/2011,CITE AIR FRANCE OUEST FOIRE N...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),AGRICULTURE,http://www.creationdentreprise.sn/groupe-senegal-cuba-afrique-sarl-gsca-sarl, SNDKR2011B11526, 1 000 000
 SNDKR2011B11503, 1 000 000LE VIKING SARL,01/09/2011,21 AVENUE GEORGES POMPIDOU,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),HOTELS ET ETABLISSEMENTS ANALOGUES,http://www.creationdentreprise.sn/le-viking-sarl, SNDKR2011B11503, 1 000 000
 SNDKR2011B11502, 1 000 000PRO-INTERNATIONAL RECYCLING SUARL - PIR SUARL,01/09/2011,HANN MARISTES N°F 02,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/pro-international-recycling-suarl-pir-suarl, SNDKR2011B11502, 1 000 000
 SNDKR2011B11629, 1 000 000SEE BUSINESS PARTENAIRES SARL,06/09/2011,SACRE COEUR 3 N°10399,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),EDUCATION - FORMATION,http://www.creationdentreprise.sn/see-business-partenaires-sarl, SNDKR2011B11629, 1 000 000
 SNDKR2011B11395, 100 000 000INDUSTRIE AFRICAINE DE VERRES SA - I.A.V. SA,29/08/2011,SOTRAC MERMOZ LOT N°32,SOCIETE ANONYME (S.A),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/industrie-africaine-de-verres-sa-iav-sa, SNDKR2011B11395, 100 000 000
 SNDKR2011B11498, 1 000 000COFEM SENEGAL SARL,01/09/2011,CITE ASSEMBLEE MAMELLES...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),MATERIAUX DE CONSTRUCTION,http://www.creationdentreprise.sn/cofem-senegal-sarl, SNDKR2011B11498, 1 000 000
 SNDKR2011B11497, 1 000 000NATIONAL,01/09/2011,SICAP LIBERTE 6 N°6747,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/national, SNDKR2011B11497, 1 000 000
 SNDKR2011B11626, 1 000 000TOUBA HUILE SARL,06/09/2011,CAMBERENE 2 N°628,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),AGRICULTURE,http://www.creationdentreprise.sn/touba-huile-sarl, SNDKR2011B11626, 1 000 000
 SNDKR2011B11211, 1 000 000TOUBA TRAVAUX ET DISTRIBUTION SARL - 2TED SARL,24/08/2011,3085 SICAP AMITIE 1 DAKAR,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/touba-travaux-et-distribution-sarl-2ted-sarl, SNDKR2011B11211, 1 000 000
 SNDKR2011B11322, 1 000 000ISC-AFRIQUE DE L&#039;OUEST SARL,26/08/2011,CENTRAL PARC AVENUE MALICK SY...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/isc-afrique-de-louest-sarl, SNDKR2011B11322, 1 000 000
 SNDKR2011B11465, 1 000 000A.S.N. TRADING,30/08/2011,BARGNY SINCONE N°1116 DAKAR,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/asn-trading, SNDKR2011B11465, 1 000 000
 SNDKR2011B10099, 1 000 000FALMABY SARL,02/08/2011,HLM 2 VILLA N°561,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/falmaby-sarl, SNDKR2011B10099, 1 000 000
 SNDKR2011B11390, 1 000 000KS BUSINESS FARM SUARL,29/08/2011,SODIDA LOT N°12 DAKAR,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/ks-business-farm-suarl, SNDKR2011B11390, 1 000 000
 SNDKR2011B11393, 1 000 000OCCIDENTAL PECHE SARL,29/08/2011,VILLA N°85 CITE ASECNA...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PECHE,http://www.creationdentreprise.sn/occidental-peche-sarl, SNDKR2011B11393, 1 000 000
 SNDKR2011B11499, 1 200 000ELECTRO MECHANICAL WORKS SUARL,01/09/2011,DAKAR NORD FOIRE AZUR N°03,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/electro-mechanical-works-suarl, SNDKR2011B11499, 1 200 000
 SNDKR2011B11466, 1 000 000FUME BOU SENEGAL SARL,30/08/2011,RUFISQUE ROUTE DE LAYOUSSE,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),AGRICULTURE,http://www.creationdentreprise.sn/fume-bou-senegal-sarl, SNDKR2011B11466, 1 000 000
 SNDKR2011B11523, 1 000 000ETABLISSEMENT GUEYE KHADIM SARL - E.G.K SARL,02/09/2011,VDN LOT N°10 / 7516,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/etablissement-gueye-khadim-sarl-egk-sarl, SNDKR2011B11523, 1 000 000
 SNDKR2011B11524, 1 000 000TAMOU SUARL,02/09/2011,SODIDA N°21/B,S.U.A.R.L,INDUSTRIE METALLURGIQUE / SIDERURGIQUE,http://www.creationdentreprise.sn/tamou-suarl, SNDKR2011B11524, 1 000 000
 SNDKR2011B11391, 1 000 000VANILIA DISTRIBUTION SARL,29/08/2011,18 RUE ROBERT BRUN,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/vanilia-distribution-sarl, SNDKR2011B11391, 1 000 000
 SNDKR2011B11504, 1 000 000PORTE FENETRE BATIMENT PLUS SARL 6 PROFEBAT SARL,01/09/2011,KM 21 ROUTE DE RUFISQUE,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/porte-fenetre-batiment-plus-sarl-6-profebat-sarl, SNDKR2011B11504, 1 000 000
 SNDKR2011B11470, 1 000 000PROKS SUARL,30/08/2011,64 RUE CARNOT x LAMINE GUEYE...,S.U.A.R.L,AGRICULTURE,http://www.creationdentreprise.sn/proks-suarl, SNDKR2011B11470, 1 000 000
 SNDKR2011B10104, 1 050 000GLOBAL SECURITY AND COMMUNICATION SARL,02/08/2011,5 RUE COLBERT IMMEUBLE AIR...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/global-security-and-communication-sarl, SNDKR2011B10104, 1 050 000
 SNDKR2011B10095, 1 000 000CENTREX SARL,02/08/2011,DAKAR MERMOZ PYROTECHNIE LOT...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMUNICATION,http://www.creationdentreprise.sn/centrex-sarl, SNDKR2011B10095, 1 000 000
 SNDKR2011B10008, 1 000 000KOBA RESSOURCES SARL,01/08/2011,35 MERMOZ PYROTECHNIE DAKAR,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),INDUSTRIE EXTRACTIVE - MINES ET CARRIERES,http://www.creationdentreprise.sn/koba-ressources-sarl, SNDKR2011B10008, 1 000 000
 SNDKR2011B10252, 1 000 000CONSEIL VETERINAIRE AFRIQUE DE L&#039;OUEST-SENEGAL SARL - CVAO SENEGAL SARL,01/08/2011,DAKAR PARCELLES ASSAINIES...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),INDUSTRIE EXTRACTIVE - MINES ET CARRIERES,http://www.creationdentreprise.sn/conseil-veterinaire-afrique-de-louest-senegal-sarl-cvao-senegal-sarl, SNDKR2011B10252, 1 000 000
 SNDKR2011B10010, 1 000 000RSKI GROUP SARL,01/08/2011,9 CITE TELECOM OUEST FOIRE,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMUNICATION,http://www.creationdentreprise.sn/rski-group-sarl, SNDKR2011B10010, 1 000 000
 SNDKR2011B9947, 16 000 000SOCIETE DE COURTAGE D&#039;ASSURANCE SUTURA SA - SCA SUTURA SA,29/07/2011,IMMEUBLE LES DUNES BATIMENT D...,SOCIETE ANONYME (S.A),ASSURANCES,http://www.creationdentreprise.sn/societe-de-courtage-dassurance-sutura-sa-sca-sutura-sa, SNDKR2011B9947, 16 000 000
 SNDKR2011B9887, 1 000 000KAMELEON SARL,28/07/2011,SACRE COEUR 3 VILLA N°9634,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/kameleon-sarl, SNDKR2011B9887, 1 000 000
 SNDKR2011B10103, 10 000 000SALOUM RESOURCES SARL,02/08/2011,17 CITE AFRICA OUAKAM,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),INDUSTRIE EXTRACTIVE - MINES ET CARRIERES,http://www.creationdentreprise.sn/saloum-resources-sarl, SNDKR2011B10103, 10 000 000
 SNDKR2011B10106, 1 000 000WIWMEDIA SARL,02/08/2011,DAKAR IMMEUBLE BIRIMA SACRE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMUNICATION,http://www.creationdentreprise.sn/wiwmedia-sarl, SNDKR2011B10106, 1 000 000
 SNDKR2011B9945, 1 000 000EMG LOC SARL,29/07/2011,AVENUE FAD BEN ABDEL AZIZ x...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),HOTELS ET ETABLISSEMENTS ANALOGUES,http://www.creationdentreprise.sn/emg-loc-sarl, SNDKR2011B9945, 1 000 000
 SNDKR2011B10105, 1 000 000NOUVELLE SOCIETE DE TRANSIT INTERNATIONAL SARL - N.S.T.I. SARL,02/08/2011,DAKAR CITE SOCIETE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),TRANSPORT,http://www.creationdentreprise.sn/nouvelle-societe-de-transit-international-sarl-nsti-sarl, SNDKR2011B10105, 1 000 000
 SNDKR2011B10091, 1 000 000COMMUNITY ONE WORLD ENTREPRISES LLC SARL,02/08/2011,PATTE D&#039;OIE BUILDERS N°...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),HOTELS ET ETABLISSEMENTS ANALOGUES,http://www.creationdentreprise.sn/community-one-world-entreprises-llc-sarl, SNDKR2011B10091, 1 000 000
 SNDKR2011B10004, 1 000 000MOTHERLAND ENTREPRISES LLC SARL,01/08/2011,DAKAR PATTE D&#039;OIE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),HOTELS ET ETABLISSEMENTS ANALOGUES,http://www.creationdentreprise.sn/motherland-entreprises-llc-sarl, SNDKR2011B10004, 1 000 000
 SNDKR2011B10009, 1 000 000YACINE CONSTRUCTORS SARL,01/08/2011,HLM GRAND YOFF CITE KERETOU N...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),MATERIAUX DE CONSTRUCTION,http://www.creationdentreprise.sn/yacine-constructors-sarl, SNDKR2011B10009, 1 000 000
 SNDKR2011B10006, 1 000 000TOPLINK AFRICAN RESOURCES SUARL,01/08/2011,19 RUE MASS DIOKHANE,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/toplink-african-resources-suarl, SNDKR2011B10006, 1 000 000
 SNDKR2011B10001, 1 000 000SOLSYS GROUP SUARL,01/08/2011,SODIDA RESIDENCE LES DUNES...,S.U.A.R.L,COMMUNICATION,http://www.creationdentreprise.sn/solsys-group-suarl, SNDKR2011B10001, 1 000 000
 SNDKR2011B10002, 1 000 000CLEMARD ET CIE SARL,01/08/2011,RUE 25 LIBERTE 6 EXTENSION...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),ENERGIE / PRODUITS PETROLIERS,http://www.creationdentreprise.sn/clemard-et-cie-sarl, SNDKR2011B10002, 1 000 000
 SNDKR2011B10007, 1 000 000INTER TRANSPORT SARL,01/08/2011,45 CITE MBAO DAKAR,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),TRANSPORT,http://www.creationdentreprise.sn/inter-transport-sarl, SNDKR2011B10007, 1 000 000
 SNDKR2011B9948, 1 000 000ACL CONSULTING SUARL APPUI-CONSEIL AUX COLLECTIVITES LOCALES,29/07/2011,DOMAINE DES NIS ROUTE DU...,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/acl-consulting-suarl-appui-conseil-aux-collectivites-locales, SNDKR2011B9948, 1 000 000
 SNDKR2011B10162, 1 000 000WORLD TECH SENEGAL SARL,03/08/2011,OUAKAM CITE ASECNA 1 ROUTE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),NTIC / NOUVELLES TECHNOLOGIES / INFORMATIQUE,http://www.creationdentreprise.sn/world-tech-senegal-sarl, SNDKR2011B10162, 1 000 000
 SNDKR2011B9201, 1 000 000SENEGALAISE DE L&#039;IMMOBILIER SUARL,18/07/2011,DAKAR VDN x BOURGUIBA N°9,S.U.A.R.L,IMMOBILIER,http://www.creationdentreprise.sn/senegalaise-de-limmobilier-suarl, SNDKR2011B9201, 1 000 000
 SNDKR2011B8473, 1 000 000MAÏLOÏS SUARL,11/07/2011,FOIRE CITE SIPRES 2 VILLA N°...,S.U.A.R.L,IMMOBILIER,http://www.creationdentreprise.sn/mailois-suarl, SNDKR2011B8473, 1 000 000
 SNDKR2011B8426, 1 000 000AFRIQUE FRANCE IMMOBILIER SARL - AF IMMOBILIER SARL,08/07/2011,DALIFORT N°413,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),IMMOBILIER,http://www.creationdentreprise.sn/afrique-france-immobilier-sarl-af-immobilier-sarl, SNDKR2011B8426, 1 000 000
 SNDKR2011B9043, 1 000 000BITEYE ET FILS SARL,14/07/2011,SICAP SACRE CEOUR 3 VILLA N°22,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),IMMOBILIER,http://www.creationdentreprise.sn/biteye-et-fils-sarl, SNDKR2011B9043, 1 000 000
 SNDKR2011B9059, 1 000 000COTTENDI SENEGAL SARL,15/07/2011,PARCELLES ASSAINIES UNITE 15...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/cottendi-senegal-sarl, SNDKR2011B9059, 1 000 000
 SNDKR2011B10102, 10 000 00017 CITE AFRICA OUAKAM,02/08/2011,17 CITE AFRICA OUAKAM,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),INDUSTRIE EXTRACTIVE - MINES ET CARRIERES,http://www.creationdentreprise.sn/17-cite-africa-ouakam, SNDKR2011B10102, 10 000 000
 SNDKR2011B10092, 10 000 000BAFOUNDOU RESSOURCES SARL,02/08/2011,17 CITE AFRICA OUAKAM,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),INDUSTRIE EXTRACTIVE - MINES ET CARRIERES,http://www.creationdentreprise.sn/bafoundou-ressources-sarl, SNDKR2011B10092, 10 000 000
 SNDKR2011B10098, 1 000 000EXPERTS EN TECHNOLOGIE DE L&#039;INFORMATIQUE ET DE LA COMMUNICATION WORLD SARL - E.T.I.C. SARL,02/08/2011,YOFF LOTISSEMENT DJILY MBAYE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),NTIC / NOUVELLES TECHNOLOGIES / INFORMATIQUE,http://www.creationdentreprise.sn/experts-en-technologie-de-linformatique-et-de-la-communication-world-sarl-etic-sarl, SNDKR2011B10098, 1 000 000
 SNDKR2011B9610, 1 000 000SUN OIL SARL,25/07/2011,DAKAR 20 BOULEVARD DE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/sun-oil-sarl, SNDKR2011B9610, 1 000 000
 SNDKR2011B10093, 1 000 000OTTINEX MEDIAS SARL,02/08/2011,67 BIS CITE BIGNONA GRAND YOFF,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/ottinex-medias-sarl, SNDKR2011B10093, 1 000 000
 SNDKR2011B9067, 1 000 000CONSULTIMM INTERNATIONAL SENEGAL SUARL - C.I.S SUARL,15/07/2011,VDN MERMOZ N°36,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/consultimm-international-senegal-suarl-cis-suarl, SNDKR2011B9067, 1 000 000
 SNDKR2011B9041, 1 000 000GROUPE SENITECH SARL,14/07/2011,SACRE COEUR 3 EXTENSION VILLA...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),NTIC / NOUVELLES TECHNOLOGIES / INFORMATIQUE,http://www.creationdentreprise.sn/groupe-senitech-sarl, SNDKR2011B9041, 1 000 000
 SNDKR2011B8895, 1 000 000ASKIA TRADING SUARL,13/07/2011,HLM 5 VILLA N°2509,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/askia-trading-suarl, SNDKR2011B8895, 1 000 000
 SNDKR2011E9307, 0O&#039;CAN SENEGAL SUCCURSALE,19/07/2011,SENEGAL 6757 SICAP LIBERTE 6,SUCCURSALE,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/ocan-senegal-succursale, SNDKR2011E9307, 0
 SNDKR2011B9308, 10 000 000TAMRA PECHE SARL,19/07/2011,43 RUE MOUSSE DIOP x GALANDOU...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PECHE,http://www.creationdentreprise.sn/tamra-peche-sarl, SNDKR2011B9308, 10 000 000
 SNDKR2011B9042, 10 000 000SENEGALAISE DE TRANSIT ET DE LOGISTIQUE SARL - SOSETRAL SARL,14/07/2011,HANN MARISTES VILLA N°28 DAKAR,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),TRANSPORT,http://www.creationdentreprise.sn/senegalaise-de-transit-et-de-logistique-sarl-sosetral-sarl, SNDKR2011B9042, 10 000 000
 SNDKR2011B9046, 1 000 000INTER-BAT SARL,14/07/2011,IMMEUBLE SEIGNEURIE ROUTE DE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/inter-bat-sarl, SNDKR2011B9046, 1 000 000
 SNDKR2011B9607, 1 000 000RECO TECYCLING SENEGAL SARL,25/07/2011,SACRE COEUR 3 LOT N°610 DAKAR,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/reco-tecycling-senegal-sarl, SNDKR2011B9607, 1 000 000
 SNDKR2011B8714, 71 000 000ISMAHEL PAULELE ET NAFISSATOU SARL - ISPANA SARL,12/07/2011,4302 AMITIE 3 POINT E,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),IMMOBILIER,http://www.creationdentreprise.sn/ismahel-paulele-et-nafissatou-sarl-ispana-sarl, SNDKR2011B8714, 71 000 000
 SNDKR2011B9372, 1 000 000JMC INTERNATIONAL SARL,20/07/2011,GIBRALTAR 2 VILLA N°288,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMUNICATION,http://www.creationdentreprise.sn/jmc-international-sarl, SNDKR2011B9372, 1 000 000
 SNDKR2011B9483, 1 000 000INDUSTRIE TRAITEMENT HYDRAULIQUE SARL - ITH SARL,21/07/2011,YOFF LAYENE RUE ABABACAR LAYE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),RESTAURATION ET DEBITS DE BOISSONS,http://www.creationdentreprise.sn/industrie-traitement-hydraulique-sarl-ith-sarl, SNDKR2011B9483, 1 000 000
 SNDKR2011B9045, 1 000 000CONSTRUCTION HOTELLERIE MACHINES SARL - C.H.M  SARL,14/07/2011,CASTORS CITE GEOPGRAPHIQUE...,S.U.A.R.L,BTP,http://www.creationdentreprise.sn/construction-hotellerie-machines-sarl-chm-sarl, SNDKR2011B9045, 1 000 000
