  Denonimation,  Date creation,  Siege social,  Forme juridique,  Secteur d activite,  url,  Registre de commerce,  Capital
 SNDKR2009B14329, 1.000.000 F CFANORAINI INC/SARL,20/08/2009,DAKAR 169 MOSSE DIOP,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),INDUSTRIE CULTURELLE,http://www.creationdentreprise.sn/noraini-incsarl, SNDKR2009B14329, 1.000.000 F CFA
 SNDKR2009B14328, 1.000.000 F CFAS,20/08/2009,DAKAR (Sénègal) Ouest Foire...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),IMMOBILIER,http://www.creationdentreprise.sn/s, SNDKR2009B14328, 1.000.000 F CFA
 SNDKR2009B14098, 1.000.000 F CFAESPACE IMMO CONSULT SARL,17/08/2009,DAKAR(Sénègal) 38 Rue RAFFENEL,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/espace-immo-consult-sarl, SNDKR2009B14098, 1.000.000 F CFA
 SNDKR2009B14270, 1.000.000 F CFAUNITECH SERVICES SARL,19/08/2009,Route de Rufisque(SENEGAL) KM...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/unitech-services-sarl, SNDKR2009B14270, 1.000.000 F CFA
 SNDKR2009B14092, 1.000.000 F CFAECO SOLUTIONS SENEGAL SARL,17/08/2009,DAKAR-16 Avenue des Diambars ...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/eco-solutions-senegal-sarl, SNDKR2009B14092, 1.000.000 F CFA
 SNDKR2009B13459, 1.000.000 F CFAPRECOS SARL,05/08/2009,DAKAR (Sénégal)  Médina  Rue...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/precos-sarl, SNDKR2009B13459, 1.000.000 F CFA
 SNDKR2009B13460, 1.000.000 F CFACAP SERVICES SARL,05/08/2009,DAKAR (Sénégal)  Cité Sipres...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/cap-services-sarl, SNDKR2009B13460, 1.000.000 F CFA
 SNDKR2009B14279, 1.000.000 F CFAI.S.L.A.M SARL,19/08/2009,DAKAR Yoff Layène en face...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),EDUCATION - FORMATION,http://www.creationdentreprise.sn/islam-sarl, SNDKR2009B14279, 1.000.000 F CFA
 SNDKR2009B14278, 1.000.000 F CFAVINTAGE SARL,19/08/2009,DAKAR  N°2 Sotrac Mermoz,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/vintage-sarl, SNDKR2009B14278, 1.000.000 F CFA
 SNDKR2009B14158, 1.000.000 F CFAMNK GLOBAL TRADE SARL,18/08/2009,DAKAR Pikine Cité Lobatt Fall...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/mnk-global-trade-sarl, SNDKR2009B14158, 1.000.000 F CFA
 SNDKR2009B14271, 1.000.000 F CFASOLUTION SYSTEM INFORMATIQUE SARL,19/08/2009,DAKAR (Sénégal) Dieuppeul 3 ...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/solution-system-informatique-sarl, SNDKR2009B14271, 1.000.000 F CFA
 SNDKR2009B13876, 1.000.000 F CFAAFROMANCHA,12/08/2009,DAKAR (Sénègal)  1 Place de l...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),AGRICULTURE,http://www.creationdentreprise.sn/afromancha, SNDKR2009B13876, 1.000.000 F CFA
 SNDKR2009B14330, 1.000.000 F CFASOCIETE INTERNATIONALE DE FRUITS,20/08/2009,DAKAR (Sénégal)  Keur Mbaye...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/societe-internationale-de-fruits, SNDKR2009B14330, 1.000.000 F CFA
 SNDKR2009B14272, 1.000.000 F CFAGROUPE SENGHOR SARL,19/08/2009,DAKAR(Sénègal)  Scat Urbam N°...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),AGRO-INDUSTRIE,http://www.creationdentreprise.sn/groupe-senghor-sarl, SNDKR2009B14272, 1.000.000 F CFA
 SNDKR2009B14099, 1.000.000 F CFATAILLE DRAME SARL,17/08/2009,Tally Boumack Parcelles N°...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),INDUSTRIES TEXTILES,http://www.creationdentreprise.sn/taille-drame-sarl, SNDKR2009B14099, 1.000.000 F CFA
 SNDKR2009B13513, 1 000 000AGENCY BLUE COMMUNICATION SUARL,04/08/2009,Sacré coeur 3 VDN Extension n...,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/agency-blue-communication-suarl, SNDKR2009B13513, 1 000 000
 SNDKR2009B13516, 1 000 000PROMO FOOT AFRIQUE SARL,04/07/2009,Sicap liberté V villa n°5149,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/promo-foot-afrique-sarl, SNDKR2009B13516, 1 000 000
 SNDKR2009B13515, 1 000 000DIIWANE GLACE SARL,16/07/2009,P.A Unité 11 villa n°409,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),ALIMENTAIRE,http://www.creationdentreprise.sn/diiwane-glace-sarl, SNDKR2009B13515, 1 000 000
 SNDKR2009B13514, 1 000 000COMMEX TRADING SARL,04/08/2009,124 Rue Moussé DIOP X Victor...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),IMPORT-EXPORT,http://www.creationdentreprise.sn/commex-trading-sarl, SNDKR2009B13514, 1 000 000
 SNDKR2009B13453, 1 000 000GMR GROUP SN,08/08/2009,Scat Urbam Hann Maristes N°...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),INDUSTRIE EXTRACTIVE - MINES ET CARRIERES,http://www.creationdentreprise.sn/gmr-group-sn, SNDKR2009B13453, 1 000 000
 SNDKR2009B13454, 2 000 000DG GROUP  SARL,27/07/2009,5 Avenue Hassan II angle rue...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/dg-group-sarl, SNDKR2009B13454, 2 000 000
 SNDKR2009B13455, 1 000 000GENERALE  DE TECHNOLOGIE DE L&#039;INFORMATIQUE ET DE LA COMMUNICATION SARL,04/08/2009,Sicap liberté 3 Jet d&#039;...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),NTIC / NOUVELLES TECHNOLOGIES / INFORMATIQUE,http://www.creationdentreprise.sn/generale-de-technologie-de-linformatique-et-de-la-communication-sarl, SNDKR2009B13455, 1 000 000
 SNDKR2009B13456, 1 200 000THE BLACK PEPER EXPERIENCE SARL,03/07/2009,Rue du Docteur ROUX n°1  Dakar,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),EDITION / POLYGRAPHIQUE / IMPRIMERIE / PAPIERS-CARTON,http://www.creationdentreprise.sn/black-peper-experience-sarl, SNDKR2009B13456, 1 200 000
 SNDKR2009B13457, 1.000.000 FCFAGDCD BUSINESS SARL,31/07/2009,DAKAR (Sénégal)  Parcelles...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/gdcd-business-sarl, SNDKR2009B13457, 1.000.000 FCFA
 SNDKR2009B13458, 1.000.000 F CFAUFO CLUBS SN,05/08/2009,DAKAR  Scat Urbam Hann...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/ufo-clubs-sn, SNDKR2009B13458, 1.000.000 F CFA
 SNDKR2009B13776, 1 000 000SEN TP SARL,04/08/2009,VDN Immeuble PYRAMID N°07,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/sen-tp-sarl, SNDKR2009B13776, 1 000 000
 SNDKR2009B13777, 1 000 000SOLUTIONS OFFSHORE MARKETING SARL,06/08/2009,KM 8  Bd du Centenaire de la...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/solutions-offshore-marketing-sarl, SNDKR2009B13777, 1 000 000
 SNDKR2009B13775, 1 000 000SHEYDATY SUARL,31/07/2009,Nord foire azur  cité Ousmane...,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/sheydaty-suarl, SNDKR2009B13775, 1 000 000
 SNDKR2009B13645, 1 000 000COMPAGNIE MAMADOU NGONE,06/08/2009,SODIDA lot n°57 BP 17439,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),AGRICULTURE,http://www.creationdentreprise.sn/compagnie-mamadou-ngone, SNDKR2009B13645, 1 000 000
 SNDKR2009B13587, 1 000 000IMMO-TRANS SARL,05/08/2009,Hann mariste n°Z96,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/immo-trans-sarl, SNDKR2009B13587, 1 000 000
 SNDKR2009B13589, 1 000 000EXPRIM SARL,03/08/2009,P 84 Hann Mariste II,S.U.A.R.L,IMMOBILIER,http://www.creationdentreprise.sn/exprim-sarl, SNDKR2009B13589, 1 000 000
